city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$)
Sao Paulo,144.9,1,1,2,0,not acept,not furnished,688.97,4437.76,74.18,51.51,5252.42
Recife,54.9,2,3,1,4,acept,not furnished,132.48,1421.01,18.08,14.05,1585.62
Rio de Janeiro,33.7,2,3,1,26,not acept,not furnished,202.7,2166.01,29.07,18.7,2416.48
Sao Paulo,18.0,3,3,0,17,not acept,not furnished,118.95,1464.09,35.15,12.52,1630.71
Porto Alegre,51.4,3,4,3,0,acept,furnished,553.48,3492.35,110.52,27.98,4184.33
Curitiba,68.2,1,1,0,27,not acept,not furnished,493.58,2574.04,26.92,33.74,3128.28
Rio de Janeiro,114.3,3,2,0,30,not acept,not furnished,251.2,3046.03,151.54,26.04,3474.81
Belo Horizonte,61.0,4,4,1,19,not acept,not furnished,218.66,1705.42,81.11,9.84,2015.03
Curitiba,63.7,3,3,1,21,not acept,furnished,265.75,2630.14,75.26,17.13,2988.28
Sao Paulo,198.0,3,3,1,2,acept,furnished,1326.45,8419.31,133.46,83.7,9962.92
Recife,88.2,2,1,2,23,not acept,not furnished,351.37,2628.17,43.24,16.49,3039.27
Recife,71.3,4,4,0,0,acept,not furnished,204.26,1354.74,34.66,18.05,1611.71
Curitiba,18.0,2,1,1,27,not acept,furnished,100.35,554.97,25.81,7.85,688.98
Sao Paulo,54.7,4,3,0,14,acept,not furnished,240.9,1624.73,43.07,9.2,1917.9
Curitiba,42.6,3,4,2,2,acept,not furnished,171.28,1186.94,30.26,16.28,1404.76
Sao Paulo,89.4,4,5,2,0,not acept,not furnished,336.85,3464.41,161.87,41.1,4004.23
Sao Paulo,123.2,5,5,1,12,not acept,not furnished,609.5,4499.57,223.85,37.14,5370.06
Sao Paulo,108.6,3,3,0,0,acept,not furnished,285.87,1840.46,46.66,13.85,2186.84
Rio de Janeiro,26.2,1,1,2,29,acept,not furnished,406.87,2469.25,119.76,22.36,3018.24
Salvador,18.0,2,2,2,3,not acept,furnished,128.29,1428.05,21.69,15.7,1593.73
Porto Alegre,83.6,1,1,0,11,not acept,not furnished,438.27,2702.22,48.61,20.01,3209.11
Porto Alegre,59.4,2,2,1,17,acept,furnished,294.13,2841.95,77.84,39.22,3253.14
Rio de Janeiro,72.0,1,2,3,20,not acept,furnished,483.89,3037.13,76.85,16.03,3613.9
Rio de Janeiro,104.7,3,3,1,16,not acept,not furnished,349.55,3078.21,59.09,17.56,3504.41
Rio de Janeiro,115.8,1,1,2,3,not acept,furnished,653.5,4330.71,125.73,42.32,5152.26
Recife,76.5,3,4,1,13,acept,not furnished,203.15,2059.68,81.06,17.36,2361.25
Sao Paulo,130.6,4,5,0,8,acept,not furnished,843.13,4318.67,70.27,35.04,5267.11
Salvador,63.6,3,3,1,0,not acept,furnished,536.59,3270.18,80.29,31.28,3918.34
Belo Horizonte,18.0,4,5,1,10,not acept,not furnished,147.02,1329.83,14.93,14.28,1506.06
Rio de Janeiro,62.2,2,3,2,17,not acept,not furnished,624.67,3474.37,167.49,22.52,4289.05
Porto Alegre,66.2,3,3,1,1,acept,not furnished,466.21,2392.83,96.75,32.28,2988.07
Rio de Janeiro,126.6,2,2,1,3,not acept,not furnished,711.55,4901.96,112.9,41.36,5767.77
Fortaleza,64.1,3,2,2,0,not acept,not furnished,177.65,1457.68,24.72,14.46,1674.51
Fortaleza,59.8,3,4,2,0,acept,not furnished,263.72,2568.19,80.17,27.4,2939.48
Rio de Janeiro,105.1,1,1,2,28,not acept,not furnished,535.27,3472.67,65.89,39.87,4113.7
Sao Paulo,122.5,2,3,1,25,not acept,furnished,579.29,5268.81,167.05,32.29,6047.44
Belo Horizonte,55.2,3,3,1,5,not acept,not furnished,606.46,3253.25,85.5,43.74,3988.95
Fortaleza,46.3,3,2,1,16,not acept,not furnished,147.08,1305.21,42.05,7.36,1501.7
Sao Paulo,159.1,3,3,1,24,acept,not furnished,428.73,26897.891709570937,145.63,33.24,5230.6
Curitiba,94.2,2,2,1,9,acept,not furnished,694.95,3498.23,35.73,20.93,4249.84
Curitiba,88.6,2,1,0,22,acept,not furnished,455.63,3599.87,136.88,45.47,4237.85
Porto Alegre,116.0,1,1,1,26,not acept,not furnished,443.06,2791.25,93.5,33.87,3361.68
Sao Paulo,173.2,5,4,1,14,not acept,not furnished,669.8,5986.9,204.76,47.83,6909.29
Curitiba,25.7,4,5,0,27,acept,not furnished,216.53,1968.22,41.15,25.23,2251.13
Fortaleza,29.6,1,2,1,4,acept,furnished,257.0,1952.3,94.0,27.51,2330.81
Sao Paulo,44.0,2,3,0,27,acept,not furnished,431.12,2372.36,59.19,16.24,2878.91
Sao Paulo,84.3,3,3,0,24,not acept,furnished,472.51,3200.7,63.26,27.76,3764.23
Recife,42.2,2,1,0,25,not acept,furnished,330.25,2310.44,26.07,23.78,2690.54
Sao Paulo,159.4,4,4,2,0,not acept,not furnished,722.72,5724.71,193.57,46.07,6687.07
Salvador,39.1,3,3,1,19,not acept,furnished,147.67,1346.26,58.39,15.68,1568.0
Rio de Janeiro,182.3,2,2,2,11,not acept,not furnished,1052.91,6145.33,108.56,81.96,7388.76
Sao Paulo,59.4,1,1,1,17,not acept,not furnished,257.64,3146.86,117.24,38.73,3560.47
Fortaleza,46.0,3,3,1,0,acept,not furnished,278.45,1446.41,14.71,20.88,1760.45
Rio de Janeiro,41.5,2,2,2,5,not acept,furnished,500.36,2902.57,98.09,25.77,3526.79
Belo Horizonte,67.2,3,2,1,9,acept,furnished,172.47,,18.69,9.94,1658.43
Rio de Janeiro,135.2,2,1,1,21,not acept,not furnished,966.0,5351.0,245.48,73.31,6635.79
Belo Horizonte,53.7,1,2,1,16,acept,not furnished,326.77,2705.48,57.98,40.26,3130.49
Sao Paulo,185.7,3,2,1,0,not acept,not furnished,747.48,6327.77,187.36,59.94,7322.55
Rio de Janeiro,97.8,3,4,1,8,not acept,not furnished,540.59,4624.46,118.64,31.95,5315.64
Recife,62.4,2,3,0,28,acept,furnished,340.48,2656.18,88.04,20.93,3105.63
Sao Paulo,170.7,1,1,1,3,not acept,not furnished,955.85,5333.47,120.24,50.2,6459.76
Curitiba,55.6,3,3,1,5,not acept,not furnished,263.01,2365.78,111.21,15.16,2755.16
Rio de Janeiro,123.6,3,3,1,7,acept,not furnished,674.21,4369.54,100.53,38.94,5183.22
Porto Alegre,18.0,2,2,0,6,acept,furnished,140.75,1410.02,43.62,16.87,1611.26
Sao Paulo,22.4,3,3,0,1,acept,not furnished,226.72,1141.1,29.72,11.64,1409.18
Recife,74.8,2,2,2,8,not acept,not furnished,266.19,2493.94,47.95,32.03,2840.11
Rio de Janeiro,84.8,2,2,2,15,acept,furnished,500.76,2783.66,138.12,16.87,3439.41
Sao Paulo,67.7,3,4,0,20,acept,not furnished,248.98,2301.54,85.09,30.82,2666.43
Sao Paulo,114.9,3,4,3,19,not acept,not furnished,464.77,3476.67,105.99,28.99,4076.42
Sao Paulo,18.0,2,2,1,3,acept,furnished,117.18,1053.69,37.85,8.99,1217.71
Belo Horizonte,18.0,1,1,1,18,acept,not furnished,105.5,625.58,19.01,6.84,756.93
Rio de Janeiro,133.2,1,2,1,9,not acept,not furnished,800.5,5017.14,201.93,61.23,6080.8
Salvador,57.9,4,5,1,25,not acept,furnished,165.77,1761.37,32.78,11.53,1971.45
Rio de Janeiro,135.5,1,1,1,9,not acept,not furnished,846.25,4802.82,237.82,24.99,5911.88
Sao Paulo,122.2,1,1,1,30,not acept,not furnished,945.43,5032.49,109.83,39.09,6126.84
Belo Horizonte,138.4,2,2,2,18,acept,furnished,344.58,3918.96,101.86,32.48,4397.88
Curitiba,38.9,2,2,2,11,not acept,furnished,306.92,3345.97,163.19,21.83,3837.91
Sao Paulo,92.1,3,3,1,14,acept,furnished,284.05,3257.99,65.91,41.28,3649.23
Sao Paulo,112.3,2,3,0,3,not acept,furnished,380.15,3419.72,57.33,39.52,3896.72
Sao Paulo,124.7,3,3,0,20,not acept,not furnished,935.55,4858.68,170.1,34.17,5998.5
Porto Alegre,40.0,1,1,2,29,acept,not furnished,208.31,2027.43,98.52,13.28,2347.54
Curitiba,49.4,3,3,1,14,not acept,furnished,516.21,2642.16,131.33,26.06,3315.76
Rio de Janeiro,184.1,2,1,3,30,not acept,furnished,634.14,5451.76,106.5,73.88,6266.28
Salvador,18.0,2,1,0,2,not acept,not furnished,125.68,726.61,16.06,6.36,874.71
Salvador,18.0,2,2,0,18,not acept,not furnished,244.22,1616.12,67.07,18.26,1945.67
Belo Horizonte,76.2,3,4,0,20,not acept,furnished,258.02,2419.54,39.15,17.5,2734.21
Salvador,87.5,3,2,1,8,not acept,not furnished,536.0,2920.61,67.23,41.04,3564.88
Sao Paulo,59.1,2,2,0,9,not acept,not furnished,294.45,3452.32,110.94,45.41,3903.12
Sao Paulo,111.3,1,1,1,29,not acept,furnished,360.96,4439.55,87.36,59.14,4947.01
Sao Paulo,127.3,2,3,1,18,not acept,furnished,695.06,5257.14,57.92,26.85,6036.97
Sao Paulo,56.6,3,4,3,23,not acept,not furnished,393.2,3016.91,32.51,29.84,3472.46
Belo Horizonte,18.0,4,5,3,21,acept,furnished,75.64,475.65,23.24,2.5,577.03
Fortaleza,21.0,5,6,1,18,acept,not furnished,41.95,500.77,14.73,6.75,564.2
Sao Paulo,71.2,3,3,2,0,acept,furnished,520.06,16764.81123551915,157.03,21.59,3911.15
Sao Paulo,18.0,2,3,1,19,acept,not furnished,294.9,2028.06,51.04,24.83,2398.83
Rio de Janeiro,136.1,3,3,0,9,acept,not furnished,651.47,5462.47,233.58,40.86,6388.38
Fortaleza,18.0,2,3,0,13,acept,not furnished,179.85,1311.31,20.45,17.5,1529.11
Rio de Janeiro,136.0,3,3,0,26,acept,not furnished,409.54,4657.9,56.87,37.91,5162.22
Belo Horizonte,30.9,2,3,2,29,not acept,not furnished,180.83,1356.27,32.61,7.34,1577.05
Sao Paulo,193.4,2,2,1,20,acept,furnished,1152.51,7915.71,91.93,43.32,9203.47
Sao Paulo,80.4,1,1,2,5,acept,furnished,586.22,3727.87,109.83,50.63,4474.55
Recife,18.0,2,2,2,8,not acept,not furnished,32.42,400.0,14.22,5.58,452.22
Recife,77.3,3,3,1,2,acept,not furnished,332.85,1934.35,28.44,24.1,2319.74
Sao Paulo,18.0,3,4,1,17,not acept,not furnished,46.43,400.0,10.77,5.89,463.09
Recife,36.6,4,5,1,28,not acept,not furnished,157.71,1281.87,59.53,18.13,1517.24
Curitiba,59.1,5,4,1,24,acept,not furnished,366.2,2154.97,70.32,26.23,2617.72
Salvador,42.1,1,2,0,15,not acept,furnished,489.97,2474.59,73.75,12.68,3050.99
Rio de Janeiro,140.1,3,3,0,29,acept,not furnished,668.77,4601.21,164.58,31.66,5466.22
Belo Horizonte,83.8,3,4,2,27,acept,not furnished,168.09,1812.15,82.39,13.02,2075.65
Rio de Janeiro,176.8,4,5,2,9,not acept,not furnished,863.04,5534.62,233.45,43.17,6674.28
Curitiba,43.0,2,2,1,15,not acept,furnished,98.44,492.21,9.92,3.79,604.36
Sao Paulo,189.6,1,1,1,7,acept,not furnished,420.18,5230.57,59.37,36.14,5746.26
Sao Paulo,203.8,2,3,1,0,not acept,not furnished,519.42,6027.44,131.74,59.42,6738.02
Rio de Janeiro,156.1,5,6,2,12,acept,not furnished,602.29,4517.98,207.99,66.01,5394.27
Curitiba,127.0,4,4,1,22,not acept,furnished,429.02,5253.2,145.15,28.69,5856.06
Sao Paulo,21.6,2,1,2,18,not acept,not furnished,115.9,969.99,38.78,6.5,1131.17
Curitiba,78.4,4,3,3,28,not acept,furnished,334.15,3162.68,129.63,27.35,3653.81
Recife,18.0,1,2,1,20,acept,not furnished,121.79,802.48,27.86,8.9,961.03
Sao Paulo,86.6,2,2,2,2,not acept,not furnished,261.67,2465.91,43.14,15.65,2786.37
Curitiba,129.2,3,4,0,6,acept,not furnished,449.07,3880.34,119.28,41.12,4489.81
Rio de Janeiro,135.1,2,2,1,1,not acept,furnished,1074.11,5580.94,161.12,35.35,6851.52
Salvador,18.0,2,2,1,24,acept,furnished,95.66,604.75,21.53,4.26,726.2
Sao Paulo,85.3,4,5,1,29,acept,not furnished,577.97,3334.22,145.0,17.25,4074.44
Curitiba,76.1,3,3,1,5,not acept,not furnished,339.7,2354.69,26.63,34.39,2755.41
Salvador,64.1,5,6,2,23,not acept,furnished,248.17,2668.18,61.49,20.31,2998.15
Recife,18.0,1,1,1,12,acept,furnished,57.33,430.39,17.25,4.78,509.75
Curitiba,91.4,2,1,0,9,acept,not furnished,247.06,2343.71,100.59,17.53,2708.89
Rio de Janeiro,77.3,2,3,3,30,not acept,not furnished,262.03,2348.29,40.42,33.5,2684.24
Belo Horizonte,68.3,4,3,2,9,not acept,not furnished,427.34,2361.08,57.15,12.87,2858.44
Salvador,58.2,2,1,1,19,acept,not furnished,467.91,2497.9,75.01,24.83,3065.65
Belo Horizonte,45.0,2,1,1,21,not acept,furnished,188.42,1763.26,58.62,14.58,2024.88
Sao Paulo,85.8,1,1,1,23,not acept,not furnished,352.64,2647.74,68.36,22.92,3091.66
Fortaleza,36.0,3,3,0,26,not acept,not furnished,216.07,1100.77,42.39,6.62,1365.85
Curitiba,67.2,2,3,1,16,acept,not furnished,337.58,2199.83,61.93,19.62,2618.96
Curitiba,45.8,1,2,2,17,not acept,not furnished,325.63,1840.26,42.84,22.7,2231.43
Sao Paulo,117.6,2,1,1,21,acept,not furnished,575.26,3972.82,107.21,47.03,4702.32
Curitiba,99.7,2,3,3,2,not acept,not furnished,318.02,2295.8,38.51,32.57,2684.9
Rio de Janeiro,47.7,2,3,2,4,acept,furnished,324.72,1944.52,30.69,10.88,2310.81
Curitiba,28.2,1,2,3,23,acept,furnished,95.67,808.71,28.23,11.35,943.96
Sao Paulo,45.6,4,4,2,2,acept,furnished,315.01,2004.95,52.97,19.07,2392.0
Curitiba,60.7,1,1,0,20,not acept,not furnished,274.17,1927.94,91.91,17.75,2311.77
Recife,25.3,1,2,2,0,not acept,furnished,235.58,1409.02,33.21,13.11,1690.92
Sao Paulo,188.1,2,2,1,8,not acept,not furnished,616.0,6384.54,227.97,76.28,7304.79
Recife,32.0,5,4,0,19,not acept,not furnished,208.66,1296.04,49.26,12.29,1566.25
Rio de Janeiro,157.2,1,1,1,21,not acept,furnished,936.08,5976.7,248.26,88.32,7249.36
Fortaleza,18.2,4,4,1,18,acept,not furnished,210.55,1117.51,27.53,13.19,1368.78
Porto Alegre,31.9,4,4,1,12,not acept,furnished,238.43,1906.02,56.05,21.08,2221.58
Belo Horizonte,18.0,2,3,2,6,not acept,furnished,194.03,1063.37,43.91,6.99,1308.3
Porto Alegre,48.8,2,1,1,18,acept,not furnished,109.04,1295.08,57.96,9.56,1471.64
Fortaleza,33.9,3,2,1,3,acept,furnished,167.52,1471.13,31.47,17.37,1687.49
Rio de Janeiro,171.8,3,4,2,0,not acept,not furnished,465.78,5105.13,100.5,44.84,5716.25
Rio de Janeiro,66.7,3,2,1,0,acept,furnished,331.43,3012.02,71.09,38.16,3452.7
Curitiba,54.9,4,3,2,6,acept,not furnished,172.99,1435.57,48.26,13.33,1670.15
Salvador,39.3,2,2,2,0,not acept,not furnished,254.08,1646.47,71.29,22.59,1994.43
Porto Alegre,22.0,3,4,1,5,not acept,furnished,139.63,1592.26,56.95,17.45,1806.29
Porto Alegre,38.6,1,1,1,7,acept,furnished,289.35,2751.01,49.76,36.98,3127.1
Rio de Janeiro,123.4,3,2,2,9,not acept,furnished,852.16,5098.04,61.54,70.4,6082.14
Salvador,21.5,3,2,2,21,not acept,not furnished,274.27,1687.77,54.42,13.99,2030.45
Sao Paulo,101.4,2,3,2,12,acept,furnished,635.9,4260.86,172.58,38.05,5107.39
Belo Horizonte,88.1,1,1,1,30,acept,not furnished,338.13,2054.93,62.09,25.15,2480.3
Sao Paulo,101.8,2,2,2,29,acept,not furnished,686.32,4119.86,101.6,25.65,4933.43
Rio de Janeiro,72.8,2,2,0,30,not acept,furnished,254.09,2418.27,43.32,15.58,2731.26
Rio de Janeiro,152.7,4,5,2,11,not acept,not furnished,740.2,5148.04,169.79,68.04,6126.07
Rio de Janeiro,133.1,3,3,1,0,acept,furnished,759.89,4577.06,157.74,23.47,5518.16
Curitiba,67.3,3,3,2,26,acept,furnished,683.09,4262.54,184.9,22.91,5153.44
Rio de Janeiro,139.7,2,1,0,12,acept,furnished,662.88,4863.57,192.46,52.31,5771.22
Rio de Janeiro,18.0,1,1,0,19,acept,furnished,192.52,1463.96,44.82,21.42,1722.72
Sao Paulo,50.2,2,2,0,25,not acept,furnished,263.88,2387.65,101.19,34.21,2786.93
Rio de Janeiro,75.6,2,2,1,17,acept,not furnished,312.88,2477.42,36.01,23.31,2849.62
Sao Paulo,174.7,3,2,0,22,not acept,furnished,943.17,5915.56,115.68,76.85,7051.26
Sao Paulo,48.6,4,5,1,5,not acept,not furnished,292.5,2291.92,91.98,27.42,2703.82
Belo Horizonte,106.8,2,1,1,4,acept,furnished,554.37,3726.97,100.12,48.59,4430.05
Curitiba,77.5,3,3,1,16,not acept,furnished,513.84,,87.59,19.74,3279.19
Belo Horizonte,69.7,1,2,0,18,not acept,not furnished,177.58,2073.18,92.31,17.14,2360.21
Rio de Janeiro,82.4,1,1,2,26,not acept,furnished,554.77,3252.59,153.32,41.53,4002.21
Rio de Janeiro,18.0,1,1,1,25,not acept,furnished,179.31,1071.54,50.51,8.29,1309.65
Salvador,29.4,3,3,1,30,not acept,not furnished,181.63,1292.24,31.28,16.26,1521.41
Belo Horizonte,25.5,3,4,1,29,not acept,not furnished,123.53,1266.14,44.0,15.86,1449.53
Rio de Janeiro,37.5,2,2,2,18,not acept,furnished,135.48,1103.22,38.46,13.95,1291.11
Sao Paulo,70.2,3,4,2,14,acept,not furnished,427.85,3651.48,78.29,34.2,4191.82
Rio de Janeiro,62.4,3,2,1,23,not acept,not furnished,322.31,,55.14,13.49,2338.7
Rio de Janeiro,54.2,1,2,3,6,acept,not furnished,334.76,2385.47,63.64,14.21,2798.08
Rio de Janeiro,95.1,3,3,0,9,acept,not furnished,377.19,3088.11,115.22,21.43,3601.95
Belo Horizonte,34.1,3,3,1,23,not acept,furnished,141.51,901.21,30.57,8.93,1082.22
Belo Horizonte,39.1,2,1,1,29,acept,not furnished,152.96,1379.74,63.91,10.5,1607.11
Belo Horizonte,48.5,3,2,3,27,not acept,furnished,390.6,2488.51,49.75,33.81,2962.67
Porto Alegre,26.6,2,1,1,0,not acept,furnished,262.93,1334.43,45.39,16.46,1659.21
Salvador,59.0,3,4,1,5,acept,not furnished,316.3,3019.0,114.74,37.45,3487.49
Curitiba,108.9,4,5,2,6,not acept,not furnished,366.07,3992.31,49.41,31.78,4439.57
Recife,27.6,2,3,1,10,acept,not furnished,330.34,1725.47,61.17,16.74,2133.72
Sao Paulo,58.8,2,3,3,0,acept,furnished,317.93,2583.25,87.22,29.3,3017.7
Sao Paulo,50.6,2,1,2,5,not acept,not furnished,306.7,1917.75,43.67,18.11,2286.23
Sao Paulo,124.7,2,2,0,21,not acept,furnished,394.09,3235.57,159.82,41.89,3831.37
Curitiba,34.5,1,1,0,5,acept,not furnished,203.57,1134.03,29.82,12.37,1379.79
Fortaleza,29.3,3,4,1,29,not acept,furnished,273.54,1971.22,33.45,21.63,2299.84
Sao Paulo,135.9,1,1,0,11,not acept,furnished,721.11,6136.35,197.34,34.21,7089.01
Fortaleza,24.6,2,1,1,0,acept,not furnished,71.26,400.0,9.75,5.18,486.19
Sao Paulo,30.2,3,2,2,25,not acept,not furnished,198.81,1789.51,34.52,11.16,2034.0
Fortaleza,52.5,3,3,1,28,acept,furnished,375.63,2247.51,52.67,15.74,2691.55
Rio de Janeiro,155.0,1,1,1,28,acept,not furnished,546.07,4576.66,180.17,28.29,5331.19
Sao Paulo,91.3,3,4,3,14,acept,not furnished,352.77,2639.13,58.0,35.24,3085.14
Rio de Janeiro,103.7,4,4,0,28,acept,not furnished,320.67,2066.81,68.3,28.61,2484.39
Sao Paulo,93.5,1,1,1,21,not acept,not furnished,404.56,2552.68,25.57,37.71,3020.52
Sao Paulo,158.3,2,2,0,4,not acept,not furnished,723.91,5318.82,77.47,35.4,6155.6
Rio de Janeiro,59.7,3,3,1,15,not acept,not furnished,213.54,2194.19,87.37,29.62,2524.72
Salvador,18.0,3,3,2,12,acept,not furnished,68.14,400.0,7.29,4.33,479.76
Belo Horizonte,71.7,2,3,2,12,not acept,not furnished,449.65,2414.65,100.78,33.86,2998.94
Rio de Janeiro,18.0,2,2,2,11,not acept,not furnished,76.0,400.0,8.41,3.17,487.58
Belo Horizonte,46.6,3,4,1,3,not acept,furnished,161.62,1759.99,32.28,13.68,1967.57
Curitiba,70.6,5,5,2,10,not acept,not furnished,430.38,2589.34,97.11,33.8,3150.63
Sao Paulo,120.7,3,4,1,14,acept,not furnished,519.13,4943.44,68.92,36.96,5568.45
Rio de Janeiro,127.1,5,4,1,7,not acept,furnished,459.12,4974.8,121.92,28.48,5584.32
Sao Paulo,124.3,3,2,1,3,not acept,not furnished,396.6,4479.6,58.31,42.13,4976.64
Sao Paulo,212.6,4,3,1,4,acept,furnished,695.46,8636.88,156.08,95.42,9583.84
Curitiba,43.0,3,4,3,4,not acept,not furnished,253.89,1331.66,21.66,16.07,1623.28
Sao Paulo,135.5,4,3,3,12,not acept,not furnished,786.58,5154.47,218.16,33.06,6192.27
Belo Horizonte,95.7,2,3,3,4,not acept,not furnished,469.44,3080.35,102.1,31.25,3683.14
Curitiba,18.0,4,5,0,21,not acept,not furnished,70.95,400.0,17.13,3.33,491.41
Sao Paulo,98.4,2,3,2,8,not acept,furnished,592.7,3231.57,160.73,30.66,4015.66
Belo Horizonte,88.2,1,1,2,28,not acept,not furnished,237.6,2949.79,94.97,17.59,3299.95
Sao Paulo,190.6,3,4,2,0,acept,not furnished,1159.35,6797.45,329.06,84.3,8370.16
Recife,77.5,2,2,1,7,acept,not furnished,272.34,2149.87,29.82,24.53,2476.56
Rio de Janeiro,102.8,1,1,2,22,acept,not furnished,364.47,3053.98,44.73,31.48,3494.66
Salvador,30.2,5,5,1,20,not acept,furnished,282.27,1666.79,49.95,11.34,2010.35
Belo Horizonte,31.1,3,2,2,11,acept,not furnished,120.93,918.76,13.83,6.18,1059.7
Sao Paulo,148.9,4,5,2,26,acept,furnished,1026.95,5177.67,241.18,36.31,6482.11
Curitiba,82.6,5,6,2,0,not acept,not furnished,559.96,3091.14,93.27,39.81,3784.18
Recife,33.0,2,3,2,14,acept,not furnished,87.73,851.71,38.42,7.33,985.19
Belo Horizonte,103.7,2,1,0,4,not acept,furnished,497.73,3515.0,65.99,30.76,4109.48
Salvador,70.4,2,1,3,10,acept,not furnished,429.92,2613.36,94.52,22.35,3160.15
Fortaleza,21.6,3,4,1,20,acept,not furnished,152.75,1273.37,26.5,7.99,1460.61
Sao Paulo,104.1,3,2,1,0,not acept,furnished,412.37,4117.93,133.35,55.64,4719.29
Sao Paulo,116.6,3,3,1,0,not acept,not furnished,554.3,4172.02,186.57,44.6,4957.49
Belo Horizonte,41.0,2,3,2,11,not acept,furnished,215.57,2272.52,48.7,33.97,2570.76
Rio de Janeiro,133.3,2,2,2,6,not acept,not furnished,499.43,4612.43,132.96,46.92,5291.74
Salvador,32.7,2,2,3,21,acept,not furnished,277.79,1669.17,50.98,19.85,2017.79
Fortaleza,45.2,1,1,0,0,not acept,furnished,104.9,815.51,28.3,10.68,959.39
Rio de Janeiro,82.7,4,4,1,29,not acept,not furnished,534.9,4031.96,169.2,53.09,4789.15
Sao Paulo,166.3,1,2,1,18,acept,not furnished,804.43,5173.66,76.9,48.55,6103.54
Porto Alegre,92.1,2,2,2,14,acept,not furnished,264.81,2105.72,66.18,18.54,2455.25
Sao Paulo,91.4,1,1,1,11,not acept,not furnished,559.27,4190.1,65.7,27.14,4842.21
Salvador,64.2,3,2,2,22,not acept,not furnished,353.53,2073.88,35.73,26.33,2489.47
Rio de Janeiro,77.0,2,3,3,9,not acept,not furnished,327.92,16346.763656137315,68.08,25.84,2716.89
Curitiba,37.9,1,2,1,23,acept,furnished,126.32,700.56,9.34,4.7,840.92
Sao Paulo,43.7,3,4,2,21,not acept,furnished,406.12,2551.01,34.42,25.43,3016.98
Curitiba,71.1,4,5,1,16,not acept,furnished,341.72,2520.38,43.27,26.96,2932.33
Rio de Janeiro,83.6,4,5,1,27,acept,not furnished,652.49,3445.89,99.56,47.04,4244.98
Belo Horizonte,24.3,2,2,0,9,acept,not furnished,213.75,1644.52,28.5,9.64,1896.41
Sao Paulo,118.5,3,3,2,0,not acept,furnished,812.03,4169.49,104.84,27.59,5113.95
Porto Alegre,74.2,1,1,0,10,acept,furnished,408.69,2196.15,98.26,22.71,2725.81
Salvador,70.9,1,1,1,26,acept,not furnished,339.27,2891.55,136.19,15.78,3382.79
Sao Paulo,142.4,3,4,2,0,acept,not furnished,286.49,3464.17,111.29,30.61,3892.56
Sao Paulo,149.4,2,3,1,23,acept,not furnished,729.17,6399.82,316.84,33.01,7478.84
Sao Paulo,128.5,3,2,2,25,not acept,not furnished,608.81,4496.87,171.87,34.06,5311.61
Curitiba,74.4,4,5,2,11,not acept,furnished,713.5,3800.74,58.56,25.14,4597.94
Belo Horizonte,24.9,1,1,1,4,acept,not furnished,139.96,1344.35,53.21,10.57,1548.09
Belo Horizonte,61.6,2,2,1,9,acept,not furnished,308.77,1585.26,58.01,20.09,1972.13
Sao Paulo,35.4,2,2,0,10,not acept,not furnished,330.95,1673.84,74.68,14.18,2093.65
Rio de Janeiro,34.9,3,3,3,28,not acept,not furnished,70.78,516.48,15.52,7.19,609.97
Belo Horizonte,86.1,4,3,1,7,acept,not furnished,316.47,3243.93,108.77,25.2,3694.37
Rio de Janeiro,87.7,4,5,2,30,acept,not furnished,470.86,2753.08,71.01,17.3,3312.25
Recife,87.1,3,2,2,1,acept,not furnished,336.46,2761.63,29.52,15.47,3143.08
Sao Paulo,40.3,2,2,0,30,acept,not furnished,304.31,2544.42,86.74,37.96,2973.43
Curitiba,35.3,3,2,2,5,not acept,furnished,130.43,1417.48,68.01,8.45,1624.37
Rio de Janeiro,67.2,2,3,0,3,not acept,not furnished,437.07,2217.01,36.87,19.1,2710.05
Rio de Janeiro,46.6,5,4,1,1,not acept,not furnished,443.97,2370.61,40.02,31.93,2886.53
Curitiba,63.3,1,1,1,8,not acept,furnished,140.76,1219.36,32.24,8.86,1401.22
Curitiba,125.7,3,4,3,18,not acept,furnished,302.92,3454.55,151.11,19.51,3928.09
Recife,51.1,1,1,3,19,not acept,furnished,334.54,2419.47,81.01,25.2,2860.22
Sao Paulo,176.0,2,3,1,9,acept,not furnished,624.49,6182.01,187.98,33.07,7027.55
Sao Paulo,119.1,3,4,1,5,not acept,not furnished,584.0,4197.52,187.19,51.19,5019.9
Porto Alegre,43.5,3,3,2,30,not acept,furnished,78.32,452.57,8.16,4.98,544.03
Belo Horizonte,79.2,3,3,0,6,not acept,furnished,353.9,2834.47,136.51,20.74,3345.62
Sao Paulo,108.7,3,3,2,10,acept,not furnished,550.62,3688.8,178.94,36.57,4454.93
Sao Paulo,90.2,2,1,1,13,acept,not furnished,397.57,2724.9,115.97,13.81,3252.25
Sao Paulo,45.1,4,4,0,22,not acept,not furnished,185.56,1447.22,31.53,15.08,1679.39
Fortaleza,53.0,4,5,2,2,not acept,not furnished,390.97,1993.1,49.86,25.41,2459.34
Sao Paulo,107.8,2,1,1,6,acept,not furnished,540.3,4467.56,116.77,24.94,5149.57
Rio de Janeiro,54.8,4,3,1,30,acept,not furnished,147.22,1751.26,29.47,12.71,1940.66
